County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,"25,408,585","17,666,510","10,816,686","7,474,996","22,421,178","3,734,229","1,241,763","271,813","8,302,974","850,859",,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,"720,525",--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,"5,023,640",--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,"17,370","16,374","10,607","6,969","48,045","8,658","2,051",833,"20,206","1,574",,,,,,,,,,,,,
Andrews,9/10,"6,100","10,446","5,764","4,872","13,503","1,833",309,106,"5,450",41,,,,,,,,,,,,,
Angelina,4/5N,"56,000","40,511","24,768","17,237","67,056","14,422","6,534","1,752","28,054","3,266",,,,,,,,,,,,,
Aransas,11,"6,840","18,260","10,538","8,272","19,803","6,791",370,252,"6,701",39,,,,,,,,,,,,,
Archer,2/3,"3,000","5,155","2,987","2,487","6,921","1,677",80,13,"2,381",330,,,,,,,,,,,,,
Armstrong,1,"2,100","1,011",579,455,"1,499",470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,"18,500","22,968","14,333","9,481","38,768","7,605","1,124",651,"15,239","1,557",,,,,,,,,,,,,
Austin,6/5S,"8,600","17,646","11,124","7,643","23,704","5,933",667,396,"7,873","1,079",,,,,,,,,,,,,
Bailey,1,"23,835","3,754","2,132","1,806","5,089","1,036",114,74,"1,982",0,,,,,,,,,,,,,
Bandera,8,"5,100","12,014","7,295","5,375","19,763","6,439",352,180,"6,555",20,,,,,,,,,,,,,
Bastrop,7,"55,100","56,074","36,099","21,551","68,839","13,865","1,462",696,"29,356","2,746",,,,,,,,,,,,,
Baylor,2/3,"5,550","2,365","1,357","1,095","2,793",844,137,97,908,0,,,,,,,,,,,,,
Bee,11,"81,290","17,456","9,950","7,878","26,496","4,091",981,684,"11,359",989,,,,,,,,,,,,,
Bell,7,"213,350","124,441","78,197","51,542","272,969","40,534","15,894","2,466","95,066","12,910",,,,,,,,,,,,,
Bexar,8,"1,414,660","1,243,098","761,549","514,029","1,552,823","247,843","100,704","17,248","614,646","61,232",,,,,,,,,,,,,
Blanco,7,"5,500","8,266","4,920","3,631","10,092","3,004",90,102,"3,388",303,,,,,,,,,,,,,
Borden,9/10,0,293,179,156,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,"11,000","10,426","6,133","4,838","15,224","4,741",624,407,"5,126",579,,,,,,,,,,,,,
Bowie,4/5N,"65,890","32,864","19,557","15,486","73,689","15,832","6,332","1,467","29,102","3,303",,,,,,,,,,,,,
Brazoria,6/5S,"208,110","231,320","138,011","102,129","287,683","45,752","9,762","2,648","105,966","12,034",,,,,,,,,,,,,
Brazos,7,"167,450","132,486","83,745","52,916","186,843","21,693","7,514","1,414","59,619","6,083",,,,,,,,,,,,,
Brewster,9/10,"5,100","7,449","4,330","3,525","7,706","2,231",303,0,"2,579",255,,,,,,,,,,,,,
Briscoe,1,"1,200",880,471,425,"1,272",404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,"3,400","5,365","2,977","2,442","5,317","1,308",323,246,"2,253",22,,,,,,,,,,,,,
Brown,2/3,"14,600","15,399","9,859","8,519","30,883","7,720","1,663",911,"11,188","1,112",,,,,,,,,,,,,
Burleson,7,"4,700","9,660","5,873","4,316","14,869","3,867",143,218,"5,600",518,,,,,,,,,,,,,
Burnet,7,"35,775","25,629","16,165","10,867","39,239","10,999","1,823",595,"13,132",94,,,,,,,,,,,,,
Caldwell,7,"14,700","21,160","13,756","8,870","34,853","6,512","1,286",524,"14,114","1,294",,,,,,,,,,,,,
Calhoun,8,"7,300","12,780","7,930","5,945","16,817","3,981",470,384,"6,161",53,,,,,,,,,,,,,
Callahan,2/3,"3,500","6,181","3,535","3,022","11,263","2,958",146,122,"4,094",442,,,,,,,,,,,,,
Cameron,11,"356,965","319,009","199,479","130,622","311,689","58,607","29,737","6,315","127,806","17,059",,,,,,,,,,,,,
Camp,4/5N,"1,800","5,800","3,520","2,457","10,031","2,494",207,152,"3,927",0,,,,,,,,,,,,,
Carson,1,"1,800","2,557","1,435","1,176","4,718","1,250",60,0,"1,547",240,,,,,,,,,,,,,
Cass,4/5N,"5,100","11,051","6,801","5,178","24,182","6,856","1,216",550,"9,010","1,125",,,,,,,,,,,,,
Castro,1,"3,100","3,642","2,132","1,625","5,607","1,236",121,174,"2,168",341,,,,,,,,,,,,,
Chambers,6/5S,"36,200","18,996","12,213","7,194","33,062","5,259",958,244,"12,484","1,539",,,,,,,,,,,,,
Cherokee,4/5N,"17,070","19,375","11,596","8,930","40,876","9,444","1,500",738,"16,376","1,511",,,,,,,,,,,,,
Childress,1,"4,900","3,841","2,286","1,862","6,094","1,165",251,136,"2,395",0,,,,,,,,,,,,,
Clay,2/3,"13,645","6,010","3,330","2,894","8,666","2,484",136,60,"3,011",384,,,,,,,,,,,,,
Cochran,1,"1,400","1,731","1,007",884,"2,188",468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,"1,760","1,006",791,"2,756",947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,"3,700","3,795","2,169","1,788","6,721","2,119",342,162,"2,379",289,,,,,,,,,,,,,
Collin,2/3,"719,020","765,635","462,048","321,500","801,716","116,575","38,139","7,817","236,374","34,589",,,,,,,,,,,,,
Collingsworth,1,"2,200","1,381",792,686,"2,263",555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,"12,300","12,713","7,986","6,042","17,107","4,850",853,477,"5,957",613,,,,,,,,,,,,,
Comal,8,"88,760","98,533","60,966","42,574","125,307","28,528","5,457","1,845","38,712","4,242",,,,,,,,,,,,,
Comanche,2/3,"6,890","7,481","4,309","3,682","10,944","3,330",330,292,"3,738",455,,,,,,,,,,,,,
Concho,9/10,"2,000","1,601",910,762,"2,288",689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,"18,500","16,113","10,051","6,688","32,675","7,804",948,552,"11,640","1,051",,,,,,,,,,,,,
Coryell,7,"36,725","22,855","14,183","9,520","60,428","8,040","1,178",610,"22,789","2,014",,,,,,,,,,,,,
Cottle,2/3,0,754,427,374,"1,123",339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,"3,550","2,056","1,271",805,"3,554",594,71,110,"1,353",0,,,,,,,,,,,,,
Crockett,9/10,0,"1,821","1,025",821,"2,694",612,31,56,"1,031",0,,,,,,,,,,,,,
Crosby,1,"4,050","3,442","1,902","1,590","4,421","1,085",98,115,"1,771",284,,,,,,,,,,,,,
Culberson,9/10,"2,000","1,773",947,832,"1,746",480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,"27,340","4,123","2,424","1,742","5,217",857,40,0,"2,067",0,,,,,,,,,,,,,
Dallas,2/3,"1,844,095","1,583,833","978,521","654,710","2,028,105","292,117","142,713","21,399","730,851","83,452",,,,,,,,,,,,,
Dawson,9/10,"4,500","4,233","2,517","1,866","9,789","1,898",304,112,"4,206",475,,,,,,,,,,,,,
DeWitt,8,"6,700","9,811","5,734","4,648","16,110","4,035",319,438,"6,110","1,055",,,,,,,,,,,,,
Deaf Smith,1,"4,800","7,825","4,710","3,631","13,439","2,423",238,147,"5,332",0,,,,,,,,,,,,,
Delta,4/5N,"1,700","2,131","1,212",989,"4,222","1,118",379,100,"1,580",0,,,,,,,,,,,,,
Denton,2/3,"543,620","610,021","362,505","262,759","697,330","93,499","23,806","5,913","257,836","22,330",,,,,,,,,,,,,
Dickens,1,0,968,550,479,"1,858",525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,"23,265","7,670","4,422","3,279","7,539","1,749",238,175,"3,179",48,,,,,,,,,,,,,
Donley,1,"1,400","1,697","1,011",733,"2,716",804,27,65,918,0,,,,,,,,,,,,,
Duval,11,"3,500","7,977","4,717","3,673","8,600","2,031",69,150,"3,541",482,,,,,,,,,,,,,
Eastland,2/3,"6,170","8,012","4,802","3,817","14,970","4,054",860,389,"5,393",591,,,,,,,,,,,,,
Ector,9/10,"115,830","77,647","44,010","35,452","120,896","15,970","5,303","1,016","50,679",428,,,,,,,,,,,,,
Edwards,8,0,"1,006",571,451,"1,555",561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,"654,840","637,149","399,471","256,291","640,180","105,175","35,065","8,383","245,567","27,330",,,,,,,,,,,,,
Ellis,2/3,"120,930","101,213","61,515","43,434","141,665","24,288","3,985","1,994","54,463","6,578",,,,,,,,,,,,,
Erath,2/3,"24,000","17,762","10,469","7,943","34,875","6,256","1,250",481,"12,564","1,079",,,,,,,,,,,,,
Falls,7,"29,385","7,642","4,676","3,210","14,049","3,226",328,187,"5,671",486,,,,,,,,,,,,,
Fannin,2/3,"36,225","14,584","8,522","6,991","28,874","6,588",962,614,"10,987","1,108",,,,,,,,,,,,,
Fayette,7,"8,600","13,802","8,433","6,496","20,879","6,679",998,647,"6,844",671,,,,,,,,,,,,,
Fisher,2/3,"2,200","1,699",990,819,"3,088",961,101,28,"1,061",0,,,,,,,,,,,,,
Floyd,1,"2,300","3,158","1,772","1,486","4,371","1,070",132,68,"1,723",0,,,,,,,,,,,,,
Foard,2/3,"1,700",714,421,324,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,"488,430","626,836","376,040","269,474","616,413","93,851","24,721","4,977","175,581","19,047",,,,,,,,,,,,,
